Total_Score,Discomfort_Avg,Temp_Std,Total_Energy_MJ,Strategy_Cost,Raw_Total_Solar_MJ,overhang_depth,Latitude,WeatherFile,ShadingType,FacadeAzimuth,W_w_comfort_dev,W_w_temp_var,W_w_energy,W_w_cost,W_w_light_quality,W_target_temp_min,W_target_temp_max,W_scale_temp,W_scale_energy,W_scale_cost,W_scale_light,Base_window_ratio,Base_wall_area,fin_depth,window_ratio,u_window,tau_window,tau_visible,k_const_absorb,layer_thickness,k_wall,rho_wall,c_wall,ventilation_rate,night_vent_rate,night_cooling,c_room_light,room_depth
66.56720156574322,54.30615428548735,24.972262645762886,62.6680638651347,0.0,0.23135084901210512,0.0,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
66.38394942549557,54.04341255165661,24.86343015487317,62.36486589480556,11340.0,0.21081469018710514,0.3,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
66.20101521288505,53.78067081782588,24.755233519257665,62.06166792447642,22680.0,0.1902785313621051,0.6,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
66.01896368665622,53.51867262379258,24.647434574040417,61.75932798212084,34020.0,0.16980215695477538,0.9,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.86123033560993,53.278166236090215,24.54865731969096,61.48178909425793,45360.0,0.15101273923518146,1.2,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.75043650919594,53.07776229722125,24.469819354320258,61.25052751801293,56700.0,0.13536051793722814,1.5,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.61987268973473,52.791737662270556,24.358143772746182,60.92046161064152,75600.0,0.11302890506997201,2.0,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.59018708714208,52.59374285137795,24.285899991416258,60.691980113153136,94500.0,0.09757495795530095,2.5,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
66.29244231768892,53.912041684741254,24.80925183406261,62.21326690964101,17010.0,0.20054661077460512,0.45,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
66.17055738035933,53.73688052885409,24.737263152473798,62.01113492942157,24570.0,0.1868558382246051,0.65,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
66.1096685964045,53.64930102786153,24.701374332323592,61.910070182088766,28350.0,0.18001060463702623,0.75,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.96099306809033,53.43415870788166,24.611733556849817,61.6618008500769,37800.0,0.16319859830123645,1.0,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.9087791740787,53.35390529311407,24.579688310748825,61.56919023921295,41580.0,0.15692719343369832,1.1,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.88478945214003,53.31565866102705,24.56443729791763,61.525054497807744,43470.0,0.15394036329562338,1.15,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.68423434996664,52.93256193045901,24.41616178126736,61.08296960533768,66150.0,0.12401676808656979,1.75,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
65.58513490589468,52.675177475429315,24.31462401535527,60.785953812599,85050.0,0.1039331725935336,2.25,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,,,,,,,,,,
5.2373772054894685,4.612736311494003,1.2482171894843157,5.322992533076176,0.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.0,,,,,,,,,,,,,,
5.388577205489469,4.612736311494003,1.2482171894843157,5.322992533076176,15120.000000000002,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.4,,,,,,,,,,,,,,
5.539777205489468,4.612736311494003,1.2482171894843157,5.322992533076176,30240.000000000004,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.8,,,,,,,,,,,,,,
5.690977205489468,4.612736311494003,1.2482171894843157,5.322992533076176,45360.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.2,,,,,,,,,,,,,,
5.8421772054894685,4.612736311494003,1.2482171894843157,5.322992533076176,60480.00000000001,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.6,,,,,,,,,,,,,,
5.993377205489469,4.612736311494003,1.2482171894843157,5.322992533076176,75600.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,2.0,,,,,,,,,,,,,,
5.275177205489468,4.612736311494003,1.2482171894843157,5.322992533076176,3780.0000000000005,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.1,,,,,,,,,,,,,,
5.312977205489468,4.612736311494003,1.2482171894843157,5.322992533076176,7560.000000000001,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.2,,,,,,,,,,,,,,
5.350777205489469,4.612736311494003,1.2482171894843157,5.322992533076176,11340.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.3,,,,,,,,,,,,,,
5.426377205489469,4.612736311494003,1.2482171894843157,5.322992533076176,18900.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.5,,,,,,,,,,,,,,
5.464177205489468,4.612736311494003,1.2482171894843157,5.322992533076176,22680.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.6,,,,,,,,,,,,,,
5.501977205489468,4.612736311494003,1.2482171894843157,5.322992533076176,26459.999999999996,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.7,,,,,,,,,,,,,,
5.577577205489469,4.612736311494003,1.2482171894843157,5.322992533076176,34020.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,0.9,,,,,,,,,,,,,,
5.615377205489469,4.612736311494003,1.2482171894843157,5.322992533076176,37800.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.0,,,,,,,,,,,,,,
5.6531772054894684,4.612736311494003,1.2482171894843157,5.322992533076176,41580.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.1,,,,,,,,,,,,,,
5.728777205489468,4.612736311494003,1.2482171894843157,5.322992533076176,49140.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.3,,,,,,,,,,,,,,
5.766577205489469,4.612736311494003,1.2482171894843157,5.322992533076176,52919.99999999999,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.4,,,,,,,,,,,,,,
5.879977205489468,4.612736311494003,1.2482171894843157,5.322992533076176,64260.0,0.0,,1.35,singapore_data.csv,Fins,90,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,1.7,,,,,,,,,,,,,,
100.03580850462632,80.75443890702132,37.583517384041876,93.18878129749551,54600.0,0.06570797254570172,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,0.15,,,,,,,,,,,,,
88.71567242537317,71.56220070718828,33.24945378192254,82.58114799791915,63000.0,0.1095132875761695,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,0.25,,,,,,,,,,,,,
77.66348505367131,62.60301875763117,28.985121306034053,72.24245629747871,71400.0,0.1533186026066373,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,0.35,,,,,,,,,,,,,
66.87095770100792,53.86825139576946,24.79122789896819,62.16273391458613,79800.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,0.45,,,,,,,,,,,,,
56.33149509676504,45.34967330927348,20.671035542513014,52.33248902635014,88200.00000000001,0.240929232667573,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,0.55,,,,,,,,,,,,,
73.53346478566549,60.11795868189529,27.211385092088715,69.37475362944922,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,1.0,,,,,,,,,,,,
71.2954174031104,58.24093675695773,26.48976738495472,67.20871312417117,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,1.5,,,,,,,,,,,,
69.19091896084821,56.4776190873898,25.807812805243604,65.17388473713264,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,2.0,,,,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,2.8,,,,,,,,,,,,
63.568750453874095,51.775293109614225,23.969213022239593,59.747507771811904,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,3.5,,,,,,,,,,,,
64.1966598750865,52.18502711268286,24.142637403604773,60.22033146941784,0.0,0.06570797254570172,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,0.25,,,,,,,,,,,
64.57045923163747,52.521671969300186,24.269435085410844,60.608811958451504,0.0,0.09199116156398239,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,0.35,,,,,,,,,,,
64.94500027245002,52.85831682591749,24.397716135740076,60.99729244748515,0.0,0.11827435058226309,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,0.45,,,,,,,,,,,
65.3202713602815,53.19496168253481,24.527457280107146,61.38577293651882,0.0,0.14455753960054377,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,0.55,,,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,0.75,,,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,0.3,,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,0.45,,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,0.6,,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,0.7,,,,,,,,,,
27.1400357651782,22.619281729160562,9.430535480230322,26.102135395827858,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,0.2,,,,,,,,,
36.86099804397263,30.431524145812787,13.246172174588786,35.11728502551743,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,0.3,,,,,,,,,
46.59381256826734,38.24376656246501,17.085513359947825,44.132434655207,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,0.4,,,,,,,,,
66.07295770100792,53.86825139576946,24.79122789896819,62.16273391458613,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,0.6,,,,,,,,,
85.55944320123577,69.4927362290739,32.511623172963134,80.19303317396528,0.0,0.1971239176371051,,1.35,singapore_data.csv,Overhang,0,1.0,0.5,0.0001,0.01,0.1,20.0,26.0,1.0,1000000.0,1000.0,100000.0,0.45,14.0,,,,,,0.8,,,,,,,,,
