Time,T_Base,T_Shade,T_Glass,T_Vent,T_Combined,T_Outdoor
2023-05-10 00:30:00,42.14188862740011,38.13703477429664,43.589882031043665,34.80365378011663,33.50477687810851,29.71
2023-05-10 01:30:00,42.320575825200535,38.52003135492295,43.88252835748795,34.60960052746929,33.59211276134539,29.68
2023-05-10 02:30:00,42.49978374407852,38.88994778257975,44.1726146153639,34.45042417237702,33.66154979580484,29.6
2023-05-10 03:30:00,42.66107402512599,39.22961112327192,44.442625950515044,34.294988887278635,33.692872600604694,29.47
2023-05-10 04:30:00,42.7935434936027,39.52920711524701,44.68205169928973,34.12713214034846,33.67815474054083,29.31
2023-05-10 05:30:00,42.892614823864164,39.78510831188347,44.8860546510558,33.9447602849983,33.62134116279873,29.16
2023-05-10 06:30:00,42.95761270193023,39.997476994007734,45.053404465532836,33.75235673566321,33.53155671115734,29.04
2023-05-10 07:30:00,42.98942453407484,40.167945547274776,45.18456788620279,34.256224497227855,34.09528533916495,28.94
2023-05-10 08:30:00,42.998390343787555,40.307521190933215,45.28690815293399,34.70275134676709,34.604406092120996,29.07
2023-05-10 09:30:00,42.987942912796754,40.42023756202272,45.36336140804796,35.10010244646796,35.06545001369027,29.25
2023-05-10 10:30:00,42.959100916880196,40.50765687157174,45.415356534149545,35.452595964965546,35.48223637555224,29.41
2023-05-10 11:30:00,42.90963974268201,40.56804797755724,45.44215772522683,35.76060965660879,35.85586764729986,29.46
2023-05-10 12:30:00,42.8439743102767,40.60627515565084,45.44758681625502,36.03071707729849,36.19166698213252,29.56
2023-05-10 13:30:00,42.763593085348724,40.624237071905426,45.43347713772071,36.26624949997149,36.49273692416667,29.64
2023-05-10 14:30:00,42.6715031101704,40.625316014111796,45.40268051379145,36.471817100136306,36.76302696260502,29.74
2023-05-10 15:30:00,42.56540724200207,40.60755873412583,45.354378131555414,36.646536167347314,37.002683084567145,29.73
2023-05-10 16:30:00,42.44233872343853,40.56831414502737,45.28721418705009,36.78869863848432,37.211207838607585,29.59
2023-05-10 17:30:00,45.56045262851476,40.524652594681086,46.74680342478913,40.1575891384945,37.401502862102376,29.82
2023-05-10 18:30:00,46.88582472599775,40.490926806974684,47.37392734089712,41.72030323417539,37.58464315792741,30.38
2023-05-10 19:30:00,46.48207082563377,40.450833516093326,47.18685075815414,41.54138188576963,37.75291309764095,30.33
2023-05-10 20:30:00,46.146722990592245,40.44528250242214,47.047772426447786,39.85241701688116,36.884731657765116,30.25
2023-05-10 21:30:00,45.924239604218734,40.5256957152291,47.00552358719679,38.58324225184984,36.258455847935764,30.2
2023-05-10 22:30:00,45.8206545972273,40.70220234587374,47.069982547889325,37.654136099757224,35.836632851120996,30.13
2023-05-10 23:30:00,45.80492341624241,40.94666070703495,47.21397541347817,36.96030919946627,35.54649862525722,29.97
2023-05-11 00:30:00,45.83989371781957,41.22415136554168,47.402446103143134,36.4214799629263,35.33090355456291,29.79
2023-05-11 01:30:00,45.89462409441966,41.50553432076697,47.60548096550847,35.98178977219025,35.15110091836038,29.62
2023-05-11 02:30:00,45.94676682380488,41.76996146818056,47.80127316109512,35.60300813590829,34.98190493401537,29.46
2023-05-11 03:30:00,45.97991160727115,42.00229908255493,47.9742408104919,35.25191860372895,34.80068554435491,29.26
2023-05-11 04:30:00,45.988949801635705,42.19854357159174,48.118249470555156,34.929758602886935,34.615444497882905,29.15
2023-05-11 05:30:00,45.9701039926002,42.35588658492274,48.22933701500729,34.62870407523644,34.42458024316567,29.06
2023-05-11 06:30:00,45.92325412380373,42.475066617557204,48.306903399917154,34.34853910348665,34.232607252778465,29.01
2023-05-11 07:30:00,45.853604764577625,42.562055099724944,48.354579410530825,34.87291116409211,34.81737071321569,29.09
2023-05-11 08:30:00,45.76211390816191,42.61849946284579,48.37347773447283,35.332281929789985,35.340713229281405,29.17
2023-05-11 09:30:00,45.65203999874044,42.648281234940114,48.36650685626648,35.73569226371465,35.810062278513094,29.29
2023-05-11 10:30:00,45.51987163287118,42.648454515457836,48.33205952378464,36.08371437785452,36.22685355963843,29.27
2023-05-11 11:30:00,45.376376083832305,42.630301595478606,48.27835481703583,36.39035764578717,36.60165865013921,29.46
2023-05-11 12:30:00,45.2133416075464,42.58608111044425,48.200662025726366,36.650110853822234,36.93167303750535,29.39
2023-05-11 13:30:00,45.043987987127586,42.529443483866714,48.108878124318,36.878505838527836,37.2284240525029,29.59
2023-05-11 14:30:00,44.858700894881025,42.45116945550775,47.99727552867088,37.06794378597942,37.48759471081329,29.5
2023-05-11 15:30:00,44.66732813406343,42.36146991121645,47.873361168050295,37.2300522157323,37.7179317390208,29.6
2023-05-11 16:30:00,44.46605971560369,42.25686908294505,47.73528024131751,37.36260779364512,37.91868293973248,29.56
2023-05-11 17:30:00,46.59303668864469,42.13484779248679,48.68926165019469,39.805176598463724,38.08956228187646,29.4
2023-05-11 18:30:00,47.84649753440795,41.98632999528983,49.23258645276813,41.35728443475695,38.22562609475929,28.95
2023-05-11 19:30:00,47.376051116993985,41.83933215642907,48.965412389816215,41.16970849103903,38.34886013708075,29.01
2023-05-11 20:30:00,46.97151240472942,41.72895414167157,48.74183774135701,39.368348147813464,37.19849449073547,29.17
2023-05-11 21:30:00,46.6476940093249,41.676048227367296,48.587356434968,37.93368028107092,36.272162743871256,28.82
2023-05-11 22:30:00,46.411668959420744,41.691183326420905,48.51254036295838,36.78984077009723,35.528699174735685,28.41
2023-05-11 23:30:00,46.255029995538074,41.76842050390796,48.507371984945145,35.915441616414235,34.968425086646754,28.3
2023-05-12 00:30:00,46.160032224994545,41.89191253453748,48.5520724069309,35.28687405826387,34.58421864214632,28.5
2023-05-12 01:30:00,46.10581831627763,42.042334340303796,48.62535028372768,34.861115315403424,34.34740512722445,28.86
2023-05-12 02:30:00,46.04721633601642,42.17579141249051,48.690998342652705,34.46995488143214,34.10926743543712,28.59
2023-05-12 03:30:00,45.98662721018099,42.295773993312956,48.74704786360223,34.160542271883024,33.920082961475806,28.69
2023-05-12 04:30:00,45.905855049284796,42.385030886042884,48.778930330072235,33.863365324196344,33.720143705775236,28.53
2023-05-12 05:30:00,45.792647237676015,42.432139467589984,48.77710124763903,33.5329732315839,33.47074985284453,28.15
2023-05-12 06:30:00,45.68599187535969,42.476824554177085,48.76786557948223,33.351862852926594,33.346125763246675,28.78
2023-05-12 07:30:00,45.55943703431254,42.49329347720762,48.73336517915865,33.846622137332794,33.89147766394676,28.78
2023-05-12 08:30:00,45.41364998492012,42.4828072988622,48.67443436007508,34.27846114901236,34.37836788705306,28.77
2023-05-12 09:30:00,45.25301428647949,42.450287203635284,48.594642033197104,34.65732366270037,34.81481044564872,28.83
2023-05-12 10:30:00,45.0789027016014,42.397594786657315,48.49562091424423,34.98858708256293,35.205500487061215,28.88
2023-05-12 11:30:00,44.89598396319426,42.32984478643167,48.38131287957003,35.280134225729995,35.55677752313664,29.0
2023-05-12 12:30:00,44.702468149499424,42.24565537735764,48.25125393302883,35.532872506284654,35.87015777970257,29.03
2023-05-12 13:30:00,44.50615828937583,42.1532038972761,48.11152686310136,35.756927375227654,36.15341100238711,29.21
2023-05-12 14:30:00,44.30689523564724,42.05267522802206,47.96276702615821,35.954173342034046,36.40863953102687,29.35
2023-05-12 15:30:00,44.09471330480923,41.934420457243036,47.79881888061839,36.116447061781884,36.630982451626664,29.2
2023-05-12 16:30:00,43.8834105381602,41.81252977162097,47.62972183775856,36.25915833609167,36.83163440634664,29.35
2023-05-12 17:30:00,47.14357784863555,41.66595407448953,49.09346252979064,39.85434944083603,36.99761053832234,28.93
2023-05-12 18:30:00,48.69459475986921,41.54800697040888,49.77091415423709,41.72271398031332,37.1667266535267,29.8
2023-05-12 19:30:00,48.1707225555101,41.42905936910536,49.4748965877308,41.49970822666058,37.32257549106924,29.74
2023-05-12 20:30:00,47.72856597444462,41.35399737434332,49.237307896245404,39.70337274194908,36.42711228359805,29.67
2023-05-12 21:30:00,47.41415033091533,41.376743475977186,49.110220690281984,38.34720478606757,35.77750846912052,29.55
2023-05-12 22:30:00,47.24055827176864,41.51497963590835,49.1093828866753,37.37275328718116,35.359994567641046,29.54
2023-05-12 23:30:00,47.175119985939986,41.739280425940194,49.205975459112786,36.672111295400455,35.10158754939715,29.48
